Freq.	V(n002)
1.00000000000000e+00	(-2.74865164596095e-05dB,-1.36749440005769e-06°)
1.00230523807790e+00	(-2.74865164576809e-05dB,-1.37064680021088e-06°)
1.00461579027839e+00	(-2.74865164547879e-05dB,-1.37380646739097e-06°)
1.00693166885180e+00	(-2.74865164509306e-05dB,-1.37697341834536e-06°)
1.00925288607668e+00	(-2.74865164499662e-05dB,-1.38014766992084e-06°)
1.01157945425990e+00	(-2.74865164470732e-05dB,-1.38332923896418e-06°)
1.01391138573668e+00	(-2.74865164461089e-05dB,-1.38651814207370e-06°)
1.01624869287070e+00	(-2.74865164432159e-05dB,-1.38971439659313e-06°)
1.01859138805412e+00	(-2.74865164412873e-05dB,-1.39291801902139e-06°)
1.02093948370768e+00	(-2.74865164383943e-05dB,-1.39612902675192e-06°)
1.02329299228075e+00	(-2.74865164355013e-05dB,-1.39934743648241e-06°)
1.02565192625141e+00	(-2.74865164335726e-05dB,-1.40257326550691e-06°)
1.02801629812647e+00	(-2.74865164306796e-05dB,-1.40580653087098e-06°)
1.03038612044162e+00	(-2.74865164297153e-05dB,-1.40904724952080e-06°)
1.03276140576140e+00	(-2.74865164258580e-05dB,-1.41229543894920e-06°)
1.03514216667934e+00	(-2.74865164239293e-05dB,-1.41555111615204e-06°)
1.03752841581801e+00	(-2.74865164220006e-05dB,-1.41881429847307e-06°)
1.03992016582906e+00	(-2.74865164181433e-05dB,-1.42208500335541e-06°)
1.04231742939330e+00	(-2.74865164162147e-05dB,-1.42536324774525e-06°)
1.04472021922080e+00	(-2.74865164133217e-05dB,-1.42864904933418e-06°)
1.04712854805090e+00	(-2.74865164104287e-05dB,-1.43194242551565e-06°)
1.04954242865232e+00	(-2.74865164094643e-05dB,-1.43524339378249e-06°)
1.05196187382322e+00	(-2.74865164046427e-05dB,-1.43855197152812e-06°)
1.05438689639126e+00	(-2.74865164017497e-05dB,-1.44186817624537e-06°)
1.05681750921366e+00	(-2.74865163998210e-05dB,-1.44519202572524e-06°)
1.05925372517729e+00	(-2.74865163988567e-05dB,-1.44852353736118e-06°)
1.06169555719872e+00	(-2.74865163959637e-05dB,-1.45186272904356e-06°)
1.06414301822431e+00	(-2.74865163930707e-05dB,-1.45520961816582e-06°)
1.06659612123026e+00	(-2.74865163892134e-05dB,-1.45856422271775e-06°)
1.06905487922266e+00	(-2.74865163882491e-05dB,-1.46192656049034e-06°)
1.07151930523761e+00	(-2.74865163863204e-05dB,-1.46529664947338e-06°)
1.07398941234124e+00	(-2.74865163824631e-05dB,-1.46867450715969e-06°)
1.07646521362983e+00	(-2.74865163814988e-05dB,-1.47206015143966e-06°)
1.07894672222983e+00	(-2.74865163776414e-05dB,-1.47545360060125e-06°)
1.08143395129794e+00	(-2.74865163747484e-05dB,-1.47885487233606e-06°)
1.08392691402120e+00	(-2.74865163718555e-05dB,-1.48226398483266e-06°)
1.08642562361706e+00	(-2.74865163708911e-05dB,-1.48568095647841e-06°)
1.08893009333343e+00	(-2.74865163670338e-05dB,-1.48910580456732e-06°)
1.09144033644876e+00	(-2.74865163641408e-05dB,-1.49253854808311e-06°)
1.09395636627209e+00	(-2.74865163631765e-05dB,-1.49597920481677e-06°)
1.09647819614318e+00	(-2.74865163602835e-05dB,-1.49942779285746e-06°)
1.09900583943252e+00	(-2.74865163554618e-05dB,-1.50288433089072e-06°)
1.10153930954141e+00	(-2.74865163535332e-05dB,-1.50634883710511e-06°)
1.10407861990207e+00	(-2.74865163525688e-05dB,-1.50982132988797e-06°)
1.10662378397766e+00	(-2.74865163467829e-05dB,-1.51330182752726e-06°)
1.10917481526240e+00	(-2.74865163448542e-05dB,-1.51679034850970e-06°)
1.11173172728159e+00	(-2.74865163429255e-05dB,-1.52028691142144e-06°)
1.11429453359173e+00	(-2.74865163409969e-05dB,-1.52379153464981e-06°)
1.11686324778056e+00	(-2.74865163361752e-05dB,-1.52730423697973e-06°)
1.11943788346715e+00	(-2.74865163342466e-05dB,-1.53082503679854e-06°)
1.12201845430196e+00	(-2.74865163303892e-05dB,-1.53435395299054e-06°)
1.12460497396692e+00	(-2.74865163294249e-05dB,-1.53789100424126e-06°)
1.12719745617551e+00	(-2.74865163246033e-05dB,-1.54143620903742e-06°)
1.12979591467280e+00	(-2.74865163226746e-05dB,-1.54498958646212e-06°)
1.13240036323556e+00	(-2.74865163207459e-05dB,-1.54855115539965e-06°)
1.13501081567231e+00	(-2.74865163159243e-05dB,-1.55212093433675e-06°)
1.13762728582343e+00	(-2.74865163149600e-05dB,-1.55569894275406e-06°)
1.14024978756117e+00	(-2.74865163101383e-05dB,-1.55928519913833e-06°)
1.14287833478977e+00	(-2.74865163082096e-05dB,-1.56287972287081e-06°)
1.14551294144553e+00	(-2.74865163053167e-05dB,-1.56648253243823e-06°)
1.14815362149688e+00	(-2.74865163014593e-05dB,-1.57009364781821e-06°)
1.15080038894443e+00	(-2.74865162985663e-05dB,-1.57371308749747e-06°)
1.15345325782109e+00	(-2.74865162966377e-05dB,-1.57734087065849e-06°)
1.15611224219210e+00	(-2.74865162937447e-05dB,-1.58097701698071e-06°)
1.15877735615512e+00	(-2.74865162908517e-05dB,-1.58462154534841e-06°)
1.16144861384034e+00	(-2.74865162869944e-05dB,-1.58827447524225e-06°)
1.16412602941049e+00	(-2.74865162841014e-05dB,-1.59193582604349e-06°)
1.16680961706096e+00	(-2.74865162812084e-05dB,-1.59560561713338e-06°)
1.16949939101987e+00	(-2.74865162783154e-05dB,-1.59928386789317e-06°)
1.17219536554813e+00	(-2.74865162754224e-05dB,-1.60297059800230e-06°)
1.17489755493953e+00	(-2.74865162706008e-05dB,-1.60666582694142e-06°)
1.17760597352080e+00	(-2.74865162696364e-05dB,-1.61036957409178e-06°)
1.18032063565173e+00	(-2.74865162657791e-05dB,-1.61408185943098e-06°)
1.18304155572516e+00	(-2.74865162628861e-05dB,-1.61780270243967e-06°)
1.18576874816716e+00	(-2.74865162599931e-05dB,-1.62153212279728e-06°)
1.18850222743702e+00	(-2.74865162551715e-05dB,-1.62527014038203e-06°)
1.19124200802737e+00	(-2.74865162532428e-05dB,-1.62901677497272e-06°)
1.19398810446427e+00	(-2.74865162493855e-05dB,-1.63277204664637e-06°)
