Freq.	V(vout)
1.00000000000000e+00	(5.62749079311076e+01dB,-1.54843169929814e+00°)
1.00230523807790e+00	(5.62748929683557e+01dB,-1.55199939988301e+00°)
1.00461579027839e+00	(5.62748779365762e+01dB,-1.55557531255413e+00°)
1.00693166885180e+00	(5.62748628354656e+01dB,-1.55915945538901e+00°)
1.00925288607668e+00	(5.62748476647261e+01dB,-1.56275184955425e+00°)
1.01157945425990e+00	(5.62748324239859e+01dB,-1.56635251168999e+00°)
1.01391138573668e+00	(5.62748171129736e+01dB,-1.56996146152564e+00°)
1.01624869287070e+00	(5.62748017313285e+01dB,-1.57357871654904e+00°)
1.01859138805412e+00	(5.62747862787543e+01dB,-1.57720429962219e+00°)
1.02093948370768e+00	(5.62747707549023e+01dB,-1.58083822603474e+00°)
1.02329299228075e+00	(5.62747551594588e+01dB,-1.58448051645069e+00°)
1.02565192625141e+00	(5.62747394920718e+01dB,-1.58813118929288e+00°)
1.02801629812647e+00	(5.62747237524316e+01dB,-1.59179026531237e+00°)
1.03038612044162e+00	(5.62747079401909e+01dB,-1.59545776149615e+00°)
1.03276140576140e+00	(5.62746920550364e+01dB,-1.59913370020591e+00°)
1.03514216667934e+00	(5.62746760966109e+01dB,-1.60281810003941e+00°)
1.03752841581801e+00	(5.62746600645908e+01dB,-1.60651097735368e+00°)
1.03992016582906e+00	(5.62746439586154e+01dB,-1.61021235311925e+00°)
1.04231742939330e+00	(5.62746277783656e+01dB,-1.61392225063546e+00°)
1.04472021922080e+00	(5.62746115234919e+01dB,-1.61764068334564e+00°)
1.04712854805090e+00	(5.62745951936432e+01dB,-1.62136767463779e+00°)
1.04954242865232e+00	(5.62745787884955e+01dB,-1.62510324565964e+00°)
1.05196187382322e+00	(5.62745623076804e+01dB,-1.62884740998795e+00°)
1.05438689639126e+00	(5.62745457508563e+01dB,-1.63260019419062e+00°)
1.05681750921366e+00	(5.62745291176801e+01dB,-1.63636161269537e+00°)
1.05925372517729e+00	(5.62745124077783e+01dB,-1.64013168759033e+00°)
1.06169555719872e+00	(5.62744956208120e+01dB,-1.64391044024710e+00°)
1.06414301822431e+00	(5.62744787564403e+01dB,-1.64769788903604e+00°)
1.06659612123026e+00	(5.62744618142850e+01dB,-1.65149405237268e+00°)
1.06905487922266e+00	(5.62744447939948e+01dB,-1.65529895252559e+00°)
1.07151930523761e+00	(5.62744276952168e+01dB,-1.65911260876244e+00°)
1.07398941234124e+00	(5.62744105175678e+01dB,-1.66293504039645e+00°)
1.07646521362983e+00	(5.62743932607062e+01dB,-1.66676626830935e+00°)
1.07894672222983e+00	(5.62743759242704e+01dB,-1.67060631419022e+00°)
1.08143395129794e+00	(5.62743585078648e+01dB,-1.67445519520444e+00°)
1.08392691402120e+00	(5.62743410111535e+01dB,-1.67831293389425e+00°)
1.08642562361706e+00	(5.62743234337413e+01dB,-1.68217954980151e+00°)
1.08893009333343e+00	(5.62743057752671e+01dB,-1.68605506251418e+00°)
1.09144033644876e+00	(5.62742880353645e+01dB,-1.68993949471260e+00°)
1.09395636627209e+00	(5.62742702136406e+01dB,-1.69383286226938e+00°)
1.09647819614318e+00	(5.62742523097506e+01dB,-1.69773519176523e+00°)
1.09900583943252e+00	(5.62742343232689e+01dB,-1.70164649992715e+00°)
1.10153930954141e+00	(5.62742162538513e+01dB,-1.70556680809792e+00°)
1.10407861990207e+00	(5.62741981011084e+01dB,-1.70949613690557e+00°)
1.10662378397766e+00	(5.62741798646455e+01dB,-1.71343450626324e+00°)
1.10917481526240e+00	(5.62741615440985e+01dB,-1.71738193841563e+00°)
1.11173172728159e+00	(5.62741431390546e+01dB,-1.72133845413133e+00°)
1.11429453359173e+00	(5.62741246491355e+01dB,-1.72530407270283e+00°)
1.11686324778056e+00	(5.62741060739464e+01dB,-1.72927881575451e+00°)
1.11943788346715e+00	(5.62740874130946e+01dB,-1.73326270419646e+00°)
1.12201845430196e+00	(5.62740686661964e+01dB,-1.73725575898614e+00°)
1.12460497396692e+00	(5.62740498328550e+01dB,-1.74125800265161e+00°)
1.12719745617551e+00	(5.62740309126578e+01dB,-1.74526945319920e+00°)
1.12979591467280e+00	(5.62740119052192e+01dB,-1.74929013401382e+00°)
1.13240036323556e+00	(5.62739928101120e+01dB,-1.75332006395881e+00°)
1.13501081567231e+00	(5.62739736269576e+01dB,-1.75735926727633e+00°)
1.13762728582343e+00	(5.62739543553540e+01dB,-1.76140776444879e+00°)
1.14024978756117e+00	(5.62739349948648e+01dB,-1.76546557448352e+00°)
1.14287833478977e+00	(5.62739155451201e+01dB,-1.76953272176705e+00°)
1.14551294144553e+00	(5.62738960056693e+01dB,-1.77360922616483e+00°)
1.14815362149688e+00	(5.62738763761206e+01dB,-1.77769510759077e+00°)
1.15080038894443e+00	(5.62738566560697e+01dB,-1.78179039209973e+00°)
1.15345325782109e+00	(5.62738368450711e+01dB,-1.78589509589503e+00°)
1.15611224219210e+00	(5.62738169427236e+01dB,-1.79000924436733e+00°)
1.15877735615512e+00	(5.62737969486029e+01dB,-1.79413285686376e+00°)
1.16144861384034e+00	(5.62737768622898e+01dB,-1.79826595582658e+00°)
1.16412602941049e+00	(5.62737566833418e+01dB,-1.80240856374716e+00°)
1.16680961706096e+00	(5.62737364113607e+01dB,-1.80656070240445e+00°)
1.16949939101987e+00	(5.62737160459038e+01dB,-1.81072239286512e+00°)
1.17219536554813e+00	(5.62736955865369e+01dB,-1.81489365624523e+00°)
1.17489755493953e+00	(5.62736750328271e+01dB,-1.81907451523344e+00°)
1.17760597352080e+00	(5.62736543843474e+01dB,-1.82326499332957e+00°)
1.18032063565173e+00	(5.62736336406611e+01dB,-1.82746511027538e+00°)
1.18304155572516e+00	(5.62736128013298e+01dB,-1.83167488967019e+00°)
1.18576874816716e+00	(5.62735918658945e+01dB,-1.83589435211703e+00°)
1.18850222743702e+00	(5.62735708339347e+01dB,-1.84012352131521e+00°)
1.19124200802737e+00	(5.62735497050056e+01dB,-1.84436241949102e+00°)
1.19398810446427e+00	(5.62735284786387e+01dB,-1.84861106815948e+00°)
1.19674053130724e+00	(5.62735071544110e+01dB,-1.85286948888596e+00°)
1.19949930314938e+00	(5.62734857318495e+01dB,-1.85713770557094e+00°)
1.20226443461741e+00	(5.62734642105233e+01dB,-1.86141574064242e+00°)
1.20503594037179e+00	(5.62734425899666e+01dB,-1.86570361581745e+00°)
1.20781383510678e+00	(5.62734208697078e+01dB,-1.87000135362551e+00°)
1.21059813355048e+00	(5.62733990493204e+01dB,-1.87430897740847e+00°)
1.21338885046497e+00	(5.62733771283107e+01dB,-1.87862650903614e+00°)
1.21618600064636e+00	(5.62733551062441e+01dB,-1.88295397195260e+00°)
1.21898959892486e+00	(5.62733329826261e+01dB,-1.88729138736840e+00°)
1.22179966016487e+00	(5.62733107570147e+01dB,-1.89163878035335e+00°)
1.22461619926504e+00	(5.62732884289289e+01dB,-1.89599617069769e+00°)
1.22743923115840e+00	(5.62732659978863e+01dB,-1.90036358433579e+00°)
1.23026877081238e+00	(5.62732434634377e+01dB,-1.90474104344584e+00°)
