Freq.	V(vout)
1.00000000000000e+02	(-2.08756101418704e+01dB,-1.35874810080366e+02°)
1.02329299228075e+02	(-2.11817071755867e+01dB,-1.36550692417451e+02°)
1.04712854805090e+02	(-2.14901206916175e+01dB,-1.37225164240551e+02°)
1.07151930523761e+02	(-2.18008412284031e+01dB,-1.37897880206946e+02°)
1.09647819614318e+02	(-2.21138568835043e+01dB,-1.38568498995827e+02°)
1.12201845430196e+02	(-2.24291533664178e+01dB,-1.39236684219748e+02°)
1.14815362149688e+02	(-2.27467140611041e+01dB,-1.39902105301862e+02°)
1.17489755493953e+02	(-2.30665200976402e+01dB,-1.40564438313658e+02°)
1.20226443461741e+02	(-2.33885504323503e+01dB,-1.41223366768575e+02°)
1.23026877081238e+02	(-2.37127819356914e+01dB,-1.41878582367223e+02°)
1.25892541179417e+02	(-2.40391894871462e+01dB,-1.42529785690658e+02°)
1.28824955169313e+02	(-2.43677460763028e+01dB,-1.43176686838659e+02°)
1.31825673855641e+02	(-2.46984229092995e+01dB,-1.43819006010376e+02°)
1.34896288259165e+02	(-2.50311895197857e+01dB,-1.44456474025813e+02°)
1.38038426460288e+02	(-2.53660138835377e+01dB,-1.45088832786667e+02°)
1.41253754462275e+02	(-2.57028625358828e+01dB,-1.45715835675857e+02°)
1.44543977074593e+02	(-2.60417006910914e+01dB,-1.46337247895785e+02°)
1.47910838816821e+02	(-2.63824923629255e+01dB,-1.46952846745711e+02°)
1.51356124843621e+02	(-2.67252004855477e+01dB,-1.47562421839029e+02°)
1.54881661891248e+02	(-2.70697870340603e+01dB,-1.48165775262065e+02°)
1.58489319246111e+02	(-2.74162131439548e+01dB,-1.48762721676095e+02°)
1.62181009735893e+02	(-2.77644392288279e+01dB,-1.49353088364711e+02°)
1.65958690743756e+02	(-2.81144250957565e+01dB,-1.49936715229186e+02°)
1.69824365246174e+02	(-2.84661300577885e+01dB,-1.50513454734422e+02°)
1.73780082874937e+02	(-2.88195130430576e+01dB,-1.51083171808787e+02°)
1.77827941003892e+02	(-2.91745327000985e+01dB,-1.51645743700595e+02°)
1.81970085860998e+02	(-2.95311474989820e+01dB,-1.52201059794943e+02°)
1.86208713666287e+02	(-2.98893158279654e+01dB,-1.52749021394039e+02°)
1.90546071796324e+02	(-3.02489960853976e+01dB,-1.53289541464515e+02°)
1.94984459975804e+02	(-3.06101467666753e+01dB,-1.53822544355250e+02°)
1.99526231496888e+02	(-3.09727265461106e+01dB,-1.54347965488988e+02°)
2.04173794466953e+02	(-3.13366943535932e+01dB,-1.54865751031152e+02°)
2.08929613085404e+02	(-3.17020094460066e+01dB,-1.55375857539143e+02°)
2.13796208950223e+02	(-3.20686314733825e+01dB,-1.55878251595225e+02°)
2.18776162394955e+02	(-3.24365205398161e+01dB,-1.56372909425953e+02°)
2.23872113856834e+02	(-3.28056372592076e+01dB,-1.56859816511186e+02°)
