Freq.	V(vout)
1.00000000000000e+02	(-2.08756842245167e+01dB,-1.35875107595716e+02°)
1.02329299228075e+02	(-2.11817812368709e+01dB,-1.36551000336442e+02°)
1.04712854805090e+02	(-2.14901947320249e+01dB,-1.37225482731857e+02°)
1.07151930523761e+02	(-2.18009152484283e+01dB,-1.37898209444757e+02°)
1.09647819614318e+02	(-2.21139308836525e+01dB,-1.38568839159941e+02°)
1.12201845430196e+02	(-2.24292273472039e+01dB,-1.39237035495655e+02°)
1.14815362149688e+02	(-2.27467880230526e+01dB,-1.39902467880837e+02°)
1.17489755493953e+02	(-2.30665940412845e+01dB,-1.40564812392861e+02°)
1.20226443461741e+02	(-2.33886243582329e+01dB,-1.41223752551148e+02°)
1.23026877081238e+02	(-2.37128558443633e+01dB,-1.41878980062396e+02°)
1.25892541179417e+02	(-2.40392633791664e+01dB,-1.42530195513857e+02°)
1.28824955169313e+02	(-2.43678199522382e+01dB,-1.43177109011614e+02°)
1.31825673855641e+02	(-2.46984967697245e+01dB,-1.43819440761239e+02°)
1.34896288259165e+02	(-2.50312633652816e+01dB,-1.44456921589278e+02°)
1.38038426460288e+02	(-2.53660877146925e+01dB,-1.45089293404090e+02°)
1.41253754462275e+02	(-2.57029363532906e+01dB,-1.45716309595387e+02°)
1.44543977074593e+02	(-2.60417744953525e+01dB,-1.46337735372492e+02°)
1.47910838816821e+02	(-2.63825661546458e+01dB,-1.46953348041722e+02°)
1.51356124843621e+02	(-2.67252742653384e+01dB,-1.47562937223667e+02°)
1.54881661891248e+02	(-2.70698608025381e+01dB,-1.48166305011995e+02°)
1.58489319246111e+02	(-2.74162869017408e+01dB,-1.48763266075470e+02°)
1.62181009735893e+02	(-2.77645129765485e+01dB,-1.49353647705324e+02°)
1.65958690743756e+02	(-2.81144988340426e+01dB,-1.49937289810625e+02°)
1.69824365246174e+02	(-2.84662037872755e+01dB,-1.50514044864235e+02°)
1.73780082874937e+02	(-2.88195867643858e+01dB,-1.51083777802644e+02°)
1.77827941003892e+02	(-2.91746064139129e+01dB,-1.51646365882457e+02°)
1.81970085860998e+02	(-2.95312212059326e+01dB,-1.52201698497241e+02°)
1.86208713666287e+02	(-2.98893895287066e+01dB,-1.52749676957849e+02°)
1.90546071796324e+02	(-3.02490697805898e+01dB,-1.53290214239743e+02°)
1.94984459975804e+02	(-3.06102204569837e+01dB,-1.53823234700822e+02°)
1.99526231496888e+02	(-3.09728002322068e+01dB,-1.54348673773041e+02°)
2.04173794466953e+02	(-3.13367680361547e+01dB,-1.54866477631233e+02°)
2.08929613085404e+02	(-3.17020831257180e+01dB,-1.55376602842415e+02°)
2.13796208950223e+02	(-3.20687051509355e+01dB,-1.55879015998672e+02°)
2.18776162394955e+02	(-3.24365942159101e+01dB,-1.56373693336596e+02°)
2.23872113856834e+02	(-3.28057109345509e+01dB,-1.56860620346303e+02°)
2.29086765276777e+02	(-3.31760164812294e+01dB,-1.57339791372551e+02°)
2.34422881531992e+02	(-3.35474726364796e+01dB,-1.57811209210554e+02°)
2.39883291901949e+02	(-3.39200418278726e+01dB,-1.58274884698948e+02°)
2.45470891568503e+02	(-3.42936871662393e+01dB,-1.58730836311858e+02°)
2.51188643150958e+02	(-3.46683724774144e+01dB,-1.59179089752298e+02°)
2.57039578276886e+02	(-3.50440623297013e+01dB,-1.59619677548556e+02°)
2.63026799189538e+02	(-3.54207220572558e+01dB,-1.60052638655238e+02°)
2.69153480392691e+02	(-3.57983177796040e+01dB,-1.60478018060422e+02°)
2.75422870333816e+02	(-3.61768164175096e+01dB,-1.60895866400222e+02°)
2.81838293126445e+02	(-3.65561857054122e+01dB,-1.61306239581908e+02°)
2.88403150312660e+02	(-3.69363942006499e+01dB,-1.61709198416437e+02°)
2.95120922666638e+02	(-3.73174112896959e+01dB,-1.62104808261376e+02°)
3.01995172040201e+02	(-3.76992071916130e+01dB,-1.62493138674771e+02°)
3.09029543251358e+02	(-3.80817529589516e+01dB,-1.62874263080596e+02°)
3.16227766016837e+02	(-3.84650204762845e+01dB,-1.63248258446235e+02°)
3.23593656929628e+02	(-3.88489824565897e+01dB,-1.63615204972204e+02°)
3.31131121482590e+02	(-3.92336124356674e+01dB,-1.63975185794530e+02°)
3.38844156139202e+02	(-3.96188847647828e+01dB,-1.64328286699765e+02°)
3.46736850452531e+02	(-4.00047746017081e+01dB,-1.64674595852787e+02°)
3.54813389233575e+02	(-4.03912579003335e+01dB,-1.65014203537323e+02°)
3.63078054770101e+02	(-4.07783113990076e+01dB,-1.65347201909174e+02°)
3.71535229097172e+02	(-4.11659126077588e+01dB,-1.65673684761921e+02°)
3.80189396320560e+02	(-4.15540397945389e+01dB,-1.65993747305000e+02°)
3.89045144994280e+02	(-4.19426719706228e+01dB,-1.66307485953891e+02°)
3.98107170553496e+02	(-4.23317888752868e+01dB,-1.66614998132123e+02°)
4.07380277804112e+02	(-4.27213709598849e+01dB,-1.66916382084839e+02°)
4.16869383470335e+02	(-4.31113993714242e+01dB,-1.67211736703581e+02°)
4.26579518801592e+02	(-4.35018559357466e+01dB,-1.67501161361928e+02°)
4.36515832240165e+02	(-4.38927231403959e+01dB,-1.67784755761678e+02°)
4.46683592150962e+02	(-4.42839841172727e+01dB,-1.68062619789131e+02°)
4.57088189614874e+02	(-4.46756226251265e+01dB,-1.68334853381148e+02°)
4.67735141287197e+02	(-4.50676230319854e+01dB,-1.68601556400561e+02°)
4.78630092322637e+02	(-4.54599702975598e+01dB,-1.68862828520581e+02°)
4.89778819368445e+02	(-4.58526499556897e+01dB,-1.69118769117732e+02°)
5.01187233627271e+02	(-4.62456480968903e+01dB,-1.69369477173060e+02°)
5.12861383991364e+02	(-4.66389513510279e+01dB,-1.69615051181052e+02°)
5.24807460249771e+02	(-4.70325468701799e+01dB,-1.69855589066096e+02°)
5.37031796370251e+02	(-4.74264223117071e+01dB,-1.70091188105881e+02°)
5.49540873857623e+02	(-4.78205658215720e+01dB,-1.70321944861577e+02°)
5.62341325190348e+02	(-4.82149660179308e+01dB,-1.70547955114308e+02°)
5.75439937337155e+02	(-4.86096119750210e+01dB,-1.70769313807632e+02°)
5.88843655355587e+02	(-4.90044932073662e+01dB,-1.70986114995673e+02°)
6.02559586074356e+02	(-4.93995996543175e+01dB,-1.71198451796624e+02°)
6.16595001861481e+02	(-4.97949216649362e+01dB,-1.71406416351210e+02°)
6.30957344480192e+02	(-5.01904499832414e+01dB,-1.71610099785949e+02°)
6.45654229034654e+02	(-5.05861757338244e+01dB,-1.71809592180809e+02°)
6.60693448007594e+02	(-5.09820904078339e+01dB,-1.72004982541062e+02°)
6.76082975391980e+02	(-5.13781858493477e+01dB,-1.72196358773023e+02°)
6.91830970918935e+02	(-5.17744542421184e+01dB,-1.72383807663428e+02°)
7.07945784384136e+02	(-5.21708880967113e+01dB,-1.72567414862288e+02°)
7.24435960074988e+02	(-5.25674802380200e+01dB,-1.72747264868844e+02°)
7.41310241300916e+02	(-5.29642237931648e+01dB,-1.72923441020571e+02°)
7.58577575029182e+02	(-5.33611121797761e+01dB,-1.73096025484907e+02°)
7.76247116628690e+02	(-5.37581390946461e+01dB,-1.73265099253548e+02°)
7.94328234724279e+02	(-5.41552985027593e+01dB,-1.73430742139166e+02°)
8.12830516164097e+02	(-5.45525846266865e+01dB,-1.73593032774314e+02°)
8.31763771102669e+02	(-5.49499919363381e+01dB,-1.73752048612381e+02°)
8.51138038202374e+02	(-5.53475151390785e+01dB,-1.73907865930469e+02°)
8.70963589956078e+02	(-5.57451491701782e+01dB,-1.74060559833982e+02°)
8.91250938133743e+02	(-5.61428891836164e+01dB,-1.74210204262861e+02°)
9.12010839355907e+02	(-5.65407305432087e+01dB,-1.74356871999286e+02°)
9.33254300796988e+02	(-5.69386688140656e+01dB,-1.74500634676743e+02°)
9.54992586021433e+02	(-5.73366997543620e+01dB,-1.74641562790347e+02°)
