Freq.	V(vout)
1.00000000000000e+02	(-2.08756101364979e+01dB,-1.35874810080220e+02°)
1.02329299228075e+02	(-2.11817071702137e+01dB,-1.36550692417305e+02°)
1.04712854805090e+02	(-2.14901206862441e+01dB,-1.37225164240406e+02°)
1.07151930523761e+02	(-2.18008412230291e+01dB,-1.37897880206801e+02°)
1.09647819614318e+02	(-2.21138568781298e+01dB,-1.38568498995683e+02°)
1.12201845430196e+02	(-2.24291533610429e+01dB,-1.39236684219605e+02°)
1.14815362149688e+02	(-2.27467140557287e+01dB,-1.39902105301720e+02°)
1.17489755493953e+02	(-2.30665200922644e+01dB,-1.40564438313517e+02°)
1.20226443461741e+02	(-2.33885504269739e+01dB,-1.41223366768435e+02°)
1.23026877081238e+02	(-2.37127819303146e+01dB,-1.41878582367084e+02°)
1.25892541179417e+02	(-2.40391894817690e+01dB,-1.42529785690520e+02°)
1.28824955169313e+02	(-2.43677460709251e+01dB,-1.43176686838522e+02°)
1.31825673855641e+02	(-2.46984229039214e+01dB,-1.43819006010240e+02°)
1.34896288259165e+02	(-2.50311895144071e+01dB,-1.44456474025678e+02°)
1.38038426460288e+02	(-2.53660138781587e+01dB,-1.45088832786533e+02°)
1.41253754462275e+02	(-2.57028625305034e+01dB,-1.45715835675725e+02°)
1.44543977074593e+02	(-2.60417006857114e+01dB,-1.46337247895654e+02°)
1.47910838816821e+02	(-2.63824923575453e+01dB,-1.46952846745581e+02°)
1.51356124843621e+02	(-2.67252004801670e+01dB,-1.47562421838901e+02°)
1.54881661891248e+02	(-2.70697870286793e+01dB,-1.48165775261938e+02°)
1.58489319246111e+02	(-2.74162131385734e+01dB,-1.48762721675969e+02°)
1.62181009735893e+02	(-2.77644392234462e+01dB,-1.49353088364588e+02°)
1.65958690743756e+02	(-2.81144250903744e+01dB,-1.49936715229064e+02°)
1.69824365246174e+02	(-2.84661300524060e+01dB,-1.50513454734301e+02°)
1.73780082874937e+02	(-2.88195130376749e+01dB,-1.51083171808669e+02°)
1.77827941003892e+02	(-2.91745326947153e+01dB,-1.51645743700478e+02°)
1.81970085860998e+02	(-2.95311474935986e+01dB,-1.52201059794827e+02°)
1.86208713666287e+02	(-2.98893158225817e+01dB,-1.52749021393925e+02°)
1.90546071796324e+02	(-3.02489960800136e+01dB,-1.53289541464403e+02°)
1.94984459975804e+02	(-3.06101467612909e+01dB,-1.53822544355139e+02°)
1.99526231496888e+02	(-3.09727265407260e+01dB,-1.54347965488879e+02°)
2.04173794466953e+02	(-3.13366943482083e+01dB,-1.54865751031045e+02°)
2.08929613085404e+02	(-3.17020094406213e+01dB,-1.55375857539038e+02°)
2.13796208950223e+02	(-3.20686314679970e+01dB,-1.55878251595121e+02°)
2.18776162394955e+02	(-3.24365205344304e+01dB,-1.56372909425851e+02°)
2.23872113856834e+02	(-3.28056372538216e+01dB,-1.56859816511086e+02°)
2.29086765276777e+02	(-3.31759428005333e+01dB,-1.57338967185104e+02°)
2.34422881531992e+02	(-3.35473989550893e+01dB,-1.57810364232410e+02°)
2.39883291901949e+02	(-3.39199681450499e+01dB,-1.58274018480694e+02°)
2.45470891568503e+02	(-3.42936134812340e+01dB,-1.58729948392890e+02°)
2.51188643150958e+02	(-3.46682987894637e+01dB,-1.59178179660581e+02°)
2.57039578276886e+02	(-3.50439886380287e+01dB,-1.59618744800364e+02°)
2.63026799189538e+02	(-3.54206483610695e+01dB,-1.60051682754897e+02°)
2.69153480392691e+02	(-3.57982440780967e+01dB,-1.60477038500047e+02°)
2.75422870333816e+02	(-3.61767427098558e+01dB,-1.60894862659438e+02°)
2.81838293126445e+02	(-3.65561119907686e+01dB,-1.61305211127578e+02°)
2.88403150312660e+02	(-3.69363204781531e+01dB,-1.61708144702374e+02°)
2.95120922666638e+02	(-3.73173375584605e+01dB,-1.62103728728048e+02°)
3.01995172040201e+02	(-3.76991334507311e+01dB,-1.62492032749008e+02°)
3.09029543251358e+02	(-3.80816792074907e+01dB,-1.62873130175279e+02°)
3.16227766016837e+02	(-3.84649467132858e+01dB,-1.63247097959983e+02°)
3.23593656929628e+02	(-3.88489086810664e+01dB,-1.63614016289053e+02°)
3.31131121482590e+02	(-3.92335386466030e+01dB,-1.63973968283606e+02°)
