Freq.	V(vout)
1.00000000000000e+02	(-9.43095047768874e+00dB,-3.87248841287139e+01°)
1.02329299228075e+02	(-9.50989084306504e+00dB,-3.80937369866698e+01°)
1.04712854805090e+02	(-9.58664250398669e+00dB,-3.74655976538291e+01°)
1.07151930523761e+02	(-9.66122871568745e+00dB,-3.68407766223632e+01°)
1.09647819614318e+02	(-9.73367462388080e+00dB,-3.62195754299332e+01°)
1.12201845430196e+02	(-9.80400716831534e+00dB,-3.56022860731093e+01°)
1.14815362149688e+02	(-9.87225498141933e+00dB,-3.49891904740068e+01°)
1.17489755493953e+02	(-9.93844828279442e+00dB,-3.43805600017581e+01°)
1.20226443461741e+02	(-1.00026187703410e+01dB,-3.37766550500797e+01°)
1.23026877081238e+02	(-1.00647995087785e+01dB,-3.31777246715219e+01°)
1.25892541179417e+02	(-1.01250248163410e+01dB,-3.25840062686321e+01°)
1.28824955169313e+02	(-1.01833301503772e+01dB,-3.19957253416859e+01°)
1.31825673855641e+02	(-1.02397519925838e+01dB,-3.14130952920360e+01°)
1.34896288259165e+02	(-1.02943277345590e+01dB,-3.08363172801718e+01°)
1.38038426460288e+02	(-1.03470955643242e+01dB,-3.02655801366697e+01°)
1.41253754462275e+02	(-1.03980943544216e+01dB,-2.97010603241096e+01°)
1.44543977074593e+02	(-1.04473635521502e+01dB,-2.91429219478450e+01°)
1.47910838816821e+02	(-1.04949430724540e+01dB,-2.85913168130943e+01°)
1.51356124843621e+02	(-1.05408731939131e+01dB,-2.80463845254883e+01°)
1.54881661891248e+02	(-1.05851944582617e+01dB,-2.75082526324072e+01°)
1.58489319246111e+02	(-1.06279475737711e+01dB,-2.69770368019923e+01°)
1.62181009735893e+02	(-1.06691733228117e+01dB,-2.64528410366606e+01°)
1.65958690743756e+02	(-1.07089124738371e+01dB,-2.59357579181117e+01°)
1.69824365246174e+02	(-1.07472056979945e+01dB,-2.54258688804698e+01°)
1.73780082874937e+02	(-1.07840934905087e+01dB,-2.49232445086844e+01°)
1.77827941003892e+02	(-1.08196160969520e+01dB,-2.44279448586701e+01°)
1.81970085860998e+02	(-1.08538134444538e+01dB,-2.39400197965510e+01°)
1.86208713666287e+02	(-1.08867250778809e+01dB,-2.34595093537855e+01°)
1.90546071796324e+02	(-1.09183901009707e+01dB,-2.29864440954201e+01°)
1.94984459975804e+02	(-1.09488471223676e+01dB,-2.25208454988418e+01°)
1.99526231496888e+02	(-1.09781342064961e+01dB,-2.20627263403421e+01°)
2.04173794466953e+02	(-1.10062888291495e+01dB,-2.16120910871401e+01°)
2.08929613085404e+02	(-1.10333478376827e+01dB,-2.11689362926609e+01°)
2.13796208950223e+02	(-1.10593474156579e+01dB,-2.07332509929103e+01°)
2.18776162394955e+02	(-1.10843230517752e+01dB,-2.03050171020146e+01°)
2.23872113856834e+02	(-1.11083095129172e+01dB,-1.98842098053182e+01°)
2.29086765276777e+02	(-1.11313408211147e+01dB,-1.94707979482984e+01°)
2.34422881531992e+02	(-1.11534502342451e+01dB,-1.90647444199251e+01°)
2.39883291901949e+02	(-1.11746702302517e+01dB,-1.86660065293151e+01°)
2.45470891568503e+02	(-1.11950324946863e+01dB,-1.82745363743504e+01°)
2.51188643150958e+02	(-1.12145679113654e+01dB,-1.78902812015501e+01°)
2.57039578276886e+02	(-1.12333065559330e+01dB,-1.75131837561967e+01°)
2.63026799189538e+02	(-1.12512776921262e+01dB,-1.71431826220996e+01°)
2.69153480392691e+02	(-1.12685097705425e+01dB,-1.67802125504047e+01°)
2.75422870333816e+02	(-1.12850304297091e+01dB,-1.64242047770192e+01°)
2.81838293126445e+02	(-1.13008664992695e+01dB,-1.60750873283314e+01°)
2.88403150312660e+02	(-1.13160440050891e+01dB,-1.57327853148536e+01°)
2.95120922666638e+02	(-1.13305881761176e+01dB,-1.53972212127852e+01°)
3.01995172040201e+02	(-1.13445234528219e+01dB,-1.50683151332965e+01°)
3.09029543251358e+02	(-1.13578734970410e+01dB,-1.47459850795743e+01°)
3.16227766016837e+02	(-1.13706612030933e+01dB,-1.44301471917215e+01°)
3.23593656929628e+02	(-1.13829087100023e+01dB,-1.41207159794934e+01°)
3.31131121482590e+02	(-1.13946374146946e+01dB,-1.38176045432080e+01°)
3.38844156139202e+02	(-1.14058679860457e+01dB,-1.35207247828900e+01°)
3.46736850452531e+02	(-1.14166203796480e+01dB,-1.32299875959770e+01°)
3.54813389233575e+02	(-1.14269138531924e+01dB,-1.29453030638139e+01°)
3.63078054770101e+02	(-1.14367669823530e+01dB,-1.26665806272991e+01°)
3.71535229097172e+02	(-1.14461976770845e+01dB,-1.23937292519301e+01°)
3.80189396320560e+02	(-1.14552231982362e+01dB,-1.21266575826478e+01°)
3.89045144994280e+02	(-1.14638601744058e+01dB,-1.18652740888277e+01°)
3.98107170553496e+02	(-1.14721246189529e+01dB,-1.16094871997451e+01°)
4.07380277804112e+02	(-1.14800319471089e+01dB,-1.13592054309282e+01°)
4.16869383470335e+02	(-1.14875969931131e+01dB,-1.11143375017645e+01°)
4.26579518801592e+02	(-1.14948340273303e+01dB,-1.08747924447080e+01°)
4.36515832240165e+02	(-1.15017567732830e+01dB,-1.06404797065173e+01°)
4.46683592150962e+02	(-1.15083784245739e+01dB,-1.04113092418381e+01°)
4.57088189614874e+02	(-1.15147116616323e+01dB,-1.01871915995454e+01°)
