"TIME","CH2","CH3","CH4"
-1.9600e-02,-0.116,0.0014,0.86
-1.9596e-02,-0.12,0.0008,0.84
-1.9592e-02,-0.12,-2.84217e-18,0.82
-1.9588e-02,-0.128,0.0006,0.86
-1.9584e-02,-0.124,0.0018,0.88
-1.9580e-02,-0.12,0.001,0.86
-1.9576e-02,-0.12,0.0016,0.88
-1.9572e-02,-0.12,0.0016,0.84
-1.9568e-02,-0.116,0.0006,0.84
-1.9564e-02,-0.12,0.0014,0.82
-1.9560e-02,-0.124,0.001,0.84
-1.9556e-02,-0.112,0.0004,0.84
-1.9552e-02,-0.124,0.0006,0.88
-1.9548e-02,-0.128,0.0008,0.9
-1.9544e-02,-0.124,0.0006,0.84
-1.9540e-02,-0.132,0.0004,0.92
-1.9536e-02,-0.12,0.0006,0.84
-1.9532e-02,-0.124,0.0004,0.84
-1.9528e-02,-0.132,0.001,0.9
-1.9524e-02,-0.128,0.0008,0.86
-1.9520e-02,-0.124,0.0012,0.88
-1.9516e-02,-0.12,0.0018,0.94
-1.9512e-02,-0.12,0.0012,0.86
-1.9508e-02,-0.112,0.0008,0.84
-1.9504e-02,-0.124,0.0004,0.86
-1.9500e-02,-0.124,0.0006,0.84
-1.9496e-02,-0.12,0.0012,0.88
-1.9492e-02,-0.124,0.0014,0.84
-1.9488e-02,-0.124,0.0004,0.88
-1.9484e-02,-0.128,0.0008,0.86
-1.9480e-02,-0.12,0.0012,0.84
-1.9476e-02,-0.128,0.0008,0.82
-1.9472e-02,-0.12,0.0008,0.88
-1.9468e-02,-0.132,0.0008,0.92
-1.9464e-02,-0.128,0.0014,0.9
-1.9460e-02,-0.12,0.0002,0.84
-1.9456e-02,-0.128,0.0006,0.88
-1.9452e-02,-0.124,0.0008,0.82
-1.9448e-02,-0.128,0.001,0.86
-1.9444e-02,-0.12,0.0002,0.84
-1.9440e-02,-0.12,0.0012,0.88
-1.9436e-02,-0.128,0.0014,0.9
-1.9432e-02,-0.132,0.001,0.88
-1.9428e-02,-0.128,0.0004,0.82
-1.9424e-02,-0.12,0.0008,0.84
-1.9420e-02,-0.128,0.0006,0.84
-1.9416e-02,-0.132,0.0008,0.84
-1.9412e-02,-0.112,0.0014,0.88
-1.9408e-02,-0.124,0.0008,0.82
-1.9404e-02,-0.124,0.0004,0.88
-1.9400e-02,-0.12,0.0008,0.88
-1.9396e-02,-0.132,0.0006,0.9
-1.9392e-02,-0.128,0.0018,0.86
-1.9388e-02,-0.128,0.0008,0.84
-1.9384e-02,-0.116,0.0008,0.88
-1.9380e-02,-0.124,0.0008,0.88
-1.9376e-02,-0.132,0.0014,0.84
-1.9372e-02,-0.132,0.0008,0.8
-1.9368e-02,-0.124,0.0012,0.88
-1.9364e-02,-0.128,0.0012,0.88
-1.9360e-02,-0.124,0.0008,0.96
-1.9356e-02,-0.12,0.0008,0.88
-1.9352e-02,-0.136,0.0008,0.84
-1.9348e-02,-0.128,0.0012,0.9
-1.9344e-02,-0.128,0.0006,0.9
-1.9340e-02,-0.132,0.0014,0.88
-1.9336e-02,-0.128,0.0014,0.88
-1.9332e-02,-0.132,0.0012,0.88
-1.9328e-02,-0.132,0.0006,0.9
-1.9324e-02,-0.124,0.0008,0.88
-1.9320e-02,-0.128,0.0014,0.86
-1.9316e-02,-0.132,0.001,0.84
-1.9312e-02,-0.128,0.0014,0.86
-1.9308e-02,-0.128,0.0008,0.88
-1.9304e-02,-0.132,0.0012,0.86
-1.9300e-02,-0.124,0.0006,0.84
-1.9296e-02,-0.136,0.001,0.82
-1.9292e-02,-0.132,0.0004,0.84
-1.9288e-02,-0.124,0.0004,0.88
-1.9284e-02,-0.124,0.0008,0.86
-1.9280e-02,-0.136,-2.84217e-18,0.84
-1.9276e-02,-0.132,0.0008,0.82
-1.9272e-02,-0.124,-2.84217e-18,0.86
