"TIME","CH3","CH4"
-6.9600e-02,0.014,0.042
-6.9590e-02,0.01,0.036
-6.9580e-02,0.02,0.044
-6.9570e-02,0.006,0.042
-6.9560e-02,0.012,0.044
-6.9550e-02,0.016,0.042
-6.9540e-02,0.014,0.046
-6.9530e-02,0.018,0.038
-6.9520e-02,0.014,0.04
-6.9510e-02,0.012,0.036
-6.9500e-02,0.016,0.04
-6.9490e-02,0.012,0.042
-6.9480e-02,0.018,0.04
-6.9470e-02,0.012,0.04
-6.9460e-02,0.012,0.04
-6.9450e-02,0.012,0.042
-6.9440e-02,0.016,0.046
-6.9430e-02,0.008,0.04
-6.9420e-02,0.014,0.036
-6.9410e-02,0.014,0.036
-6.9400e-02,0.016,0.046
-6.9390e-02,0.018,0.038
-6.9380e-02,0.014,0.038
-6.9370e-02,0.014,0.044
-6.9360e-02,0.016,0.042
-6.9350e-02,0.018,0.042
-6.9340e-02,0.01,0.034
-6.9330e-02,0.012,0.04
-6.9320e-02,0.008,0.04
-6.9310e-02,0.014,0.034
-6.9300e-02,0.016,0.04
-6.9290e-02,0.016,0.034
-6.9280e-02,0.012,0.044
-6.9270e-02,0.014,0.044
-6.9260e-02,0.016,0.044
-6.9250e-02,0.02,0.038
-6.9240e-02,0.006,0.032
-6.9230e-02,0.014,0.036
-6.9220e-02,0.02,0.04
-6.9210e-02,0.012,0.036
-6.9200e-02,0.012,0.038
-6.9190e-02,0.018,0.036
-6.9180e-02,0.012,0.036
-6.9170e-02,0.016,0.04
-6.9160e-02,0.016,0.034
-6.9150e-02,0.016,0.04
-6.9140e-02,0.02,0.034
-6.9130e-02,0.012,0.028
-6.9120e-02,0.016,0.038
-6.9110e-02,0.012,0.04
-6.9100e-02,0.014,0.036
-6.9090e-02,0.018,0.032
-6.9080e-02,0.016,0.042
-6.9070e-02,0.014,0.036
-6.9060e-02,0.016,0.034
-6.9050e-02,0.014,0.034
-6.9040e-02,0.012,0.034
-6.9030e-02,0.016,0.044
-6.9020e-02,0.016,0.044
-6.9010e-02,0.018,0.044
-6.9000e-02,0.014,0.036
-6.8990e-02,0.016,0.034
-6.8980e-02,0.018,0.038
-6.8970e-02,0.01,0.032
-6.8960e-02,0.016,0.03
-6.8950e-02,0.016,0.036
-6.8940e-02,0.016,0.028
-6.8930e-02,0.016,0.03
-6.8920e-02,0.012,0.032
-6.8910e-02,0.012,0.034
-6.8900e-02,0.02,0.036
-6.8890e-02,0.014,0.028
-6.8880e-02,0.014,0.034
-6.8870e-02,0.014,0.036
-6.8860e-02,0.016,0.032
-6.8850e-02,0.008,0.034
-6.8840e-02,0.014,0.032
-6.8830e-02,0.016,0.032
-6.8820e-02,0.02,0.034
-6.8810e-02,0.014,0.034
-6.8800e-02,0.018,0.032
-6.8790e-02,0.01,0.028
-6.8780e-02,0.016,0.032
-6.8770e-02,0.022,0.028
-6.8760e-02,0.018,0.034
-6.8750e-02,0.016,0.028
-6.8740e-02,0.016,0.038
-6.8730e-02,0.014,0.028
-6.8720e-02,0.012,0.042
-6.8710e-02,0.02,0.036
-6.8700e-02,0.004,0.028
-6.8690e-02,0.014,0.024
-6.8680e-02,0.006,0.03
-6.8670e-02,0.02,0.032
-6.8660e-02,0.016,0.024
-6.8650e-02,0.01,0.036
-6.8640e-02,0.014,0.034
-6.8630e-02,0.016,0.028
-6.8620e-02,0.016,0.036
-6.8610e-02,0.014,0.036
-6.8600e-02,0.008,0.03
-6.8590e-02,0.014,0.032
-6.8580e-02,0.018,0.028
-6.8570e-02,0.008,0.03
-6.8560e-02,0.012,0.028
-6.8550e-02,0.02,0.028
-6.8540e-02,0.014,0.024
-6.8530e-02,0.016,0.028
-6.8520e-02,0.016,0.024
-6.8510e-02,0.014,0.026
-6.8500e-02,0.014,0.022
-6.8490e-02,0.006,0.022
-6.8480e-02,0.012,0.026
-6.8470e-02,0.018,0.026
-6.8460e-02,0.016,0.024
-6.8450e-02,0.014,0.026
-6.8440e-02,0.022,0.032
-6.8430e-02,0.01,0.028
-6.8420e-02,0.012,0.03
-6.8410e-02,0.02,0.024
-6.8400e-02,0.014,0.03
-6.8390e-02,0.012,0.028
-6.8380e-02,0.012,0.028
-6.8370e-02,0.014,0.028
-6.8360e-02,0.014,0.028
-6.8350e-02,0.012,0.024
-6.8340e-02,0.014,0.028
-6.8330e-02,0.01,0.026
-6.8320e-02,0.014,0.022
-6.8310e-02,0.01,0.03
-6.8300e-02,0.02,0.026
-6.8290e-02,0.014,0.022
-6.8280e-02,0.024,0.028
-6.8270e-02,0.018,0.032
-6.8260e-02,0.018,0.024
-6.8250e-02,0.016,0.024
-6.8240e-02,0.014,0.022
-6.8230e-02,0.012,0.024
-6.8220e-02,0.016,0.02
-6.8210e-02,0.018,0.026
-6.8200e-02,0.016,0.028
-6.8190e-02,0.012,0.028
-6.8180e-02,0.016,0.018
-6.8170e-02,0.016,0.016
-6.8160e-02,0.014,0.022
-6.8150e-02,0.01,0.02
-6.8140e-02,0.008,0.026
-6.8130e-02,0.008,0.024
-6.8120e-02,0.014,0.02
-6.8110e-02,0.008,0.024
-6.8100e-02,0.012,0.018
-6.8090e-02,0.018,0.03
-6.8080e-02,0.02,0.024
-6.8070e-02,0.016,0.02
-6.8060e-02,0.014,0.02
-6.8050e-02,0.016,0.024
-6.8040e-02,0.014,0.022
-6.8030e-02,0.012,0.016
-6.8020e-02,0.016,0.026
-6.8010e-02,0.014,0.024
-6.8000e-02,0.016,0.022
-6.7990e-02,0.018,0.028
-6.7980e-02,0.014,0.02
-6.7970e-02,0.018,0.02
-6.7960e-02,0.012,0.024
-6.7950e-02,0.016,0.024
-6.7940e-02,0.014,0.026
-6.7930e-02,0.012,0.024
-6.7920e-02,0.008,0.02
-6.7910e-02,0.014,0.028
-6.7900e-02,0.012,0.018
-6.7890e-02,0.016,0.022
-6.7880e-02,0.012,0.028
-6.7870e-02,0.018,0.024
-6.7860e-02,0.008,0.02
-6.7850e-02,0.012,0.022
-6.7840e-02,0.02,0.02
-6.7830e-02,0.018,0.02
-6.7820e-02,0.014,0.018
-6.7810e-02,0.016,0.024
-6.7800e-02,0.012,0.016
-6.7790e-02,0.016,0.024
-6.7780e-02,0.016,0.016
-6.7770e-02,0.012,0.02
-6.7760e-02,0.014,0.02
-6.7750e-02,0.01,0.016
-6.7740e-02,0.012,0.014
-6.7730e-02,0.016,0.024
-6.7720e-02,0.014,0.016
-6.7710e-02,0.008,0.012
-6.7700e-02,0.016,0.02
