"TIME","CH1","CH2"
-1.3480e-01,0.386,-0.2
-1.3478e-01,0.386,-0.202
-1.3476e-01,0.382,-0.202
-1.3474e-01,0.388,-0.2
-1.3472e-01,0.388,-0.204
-1.3470e-01,0.386,-0.204
-1.3468e-01,0.384,-0.202
-1.3466e-01,0.388,-0.2
-1.3464e-01,0.39,-0.198
-1.3462e-01,0.384,-0.204
-1.3460e-01,0.384,-0.21
-1.3458e-01,0.386,-0.202
-1.3456e-01,0.388,-0.204
-1.3454e-01,0.384,-0.204
-1.3452e-01,0.388,-0.2
-1.3450e-01,0.392,-0.208
-1.3448e-01,0.384,-0.21
-1.3446e-01,0.388,-0.206
-1.3444e-01,0.386,-0.204
-1.3442e-01,0.384,-0.204
-1.3440e-01,0.382,-0.204
-1.3438e-01,0.386,-0.208
-1.3436e-01,0.392,-0.2
-1.3434e-01,0.386,-0.208
-1.3432e-01,0.386,-0.2
-1.3430e-01,0.384,-0.208
-1.3428e-01,0.388,-0.204
-1.3426e-01,0.382,-0.202
-1.3424e-01,0.386,-0.204
-1.3422e-01,0.386,-0.206
-1.3420e-01,0.39,-0.208
-1.3418e-01,0.386,-0.204
-1.3416e-01,0.386,-0.206
-1.3414e-01,0.384,-0.202
-1.3412e-01,0.386,-0.2
-1.3410e-01,0.388,-0.2
-1.3408e-01,0.388,-0.204
-1.3406e-01,0.392,-0.206
-1.3404e-01,0.386,-0.202
-1.3402e-01,0.382,-0.202
-1.3400e-01,0.39,-0.204
-1.3398e-01,0.388,-0.198
-1.3396e-01,0.386,-0.204
-1.3394e-01,0.386,-0.206
-1.3392e-01,0.382,-0.208
-1.3390e-01,0.384,-0.206
-1.3388e-01,0.388,-0.204
-1.3386e-01,0.388,-0.208
-1.3384e-01,0.386,-0.21
-1.3382e-01,0.386,-0.208
-1.3380e-01,0.386,-0.202
-1.3378e-01,0.384,-0.2
-1.3376e-01,0.384,-0.204
-1.3374e-01,0.386,-0.21
-1.3372e-01,0.39,-0.208
-1.3370e-01,0.382,-0.204
-1.3368e-01,0.382,-0.208
-1.3366e-01,0.384,-0.208
-1.3364e-01,0.392,-0.206
-1.3362e-01,0.386,-0.204
-1.3360e-01,0.384,-0.206
-1.3358e-01,0.384,-0.206
-1.3356e-01,0.384,-0.202
-1.3354e-01,0.388,-0.204
-1.3352e-01,0.388,-0.208
-1.3350e-01,0.384,-0.204
-1.3348e-01,0.39,-0.204
-1.3346e-01,0.388,-0.206
-1.3344e-01,0.392,-0.208
-1.3342e-01,0.386,-0.208
-1.3340e-01,0.382,-0.208
-1.3338e-01,0.392,-0.206
-1.3336e-01,0.386,-0.202
-1.3334e-01,0.386,-0.198
-1.3332e-01,0.386,-0.212
-1.3330e-01,0.388,-0.206
-1.3328e-01,0.386,-0.206
-1.3326e-01,0.392,-0.212
-1.3324e-01,0.39,-0.21
-1.3322e-01,0.388,-0.212
-1.3320e-01,0.39,-0.21
-1.3318e-01,0.384,-0.212
-1.3316e-01,0.388,-0.21
-1.3314e-01,0.39,-0.2
-1.3312e-01,0.388,-0.208
-1.3310e-01,0.384,-0.212
-1.3308e-01,0.388,-0.212
-1.3306e-01,0.386,-0.206
-1.3304e-01,0.388,-0.204
-1.3302e-01,0.39,-0.214
-1.3300e-01,0.384,-0.208
-1.3298e-01,0.392,-0.204
-1.3296e-01,0.394,-0.208
-1.3294e-01,0.392,-0.21
-1.3292e-01,0.392,-0.206
-1.3290e-01,0.388,-0.206
-1.3288e-01,0.386,-0.206
-1.3286e-01,0.396,-0.208
-1.3284e-01,0.384,-0.206
-1.3282e-01,0.388,-0.212
-1.3280e-01,0.392,-0.21
-1.3278e-01,0.386,-0.21
-1.3276e-01,0.392,-0.21
-1.3274e-01,0.388,-0.212
-1.3272e-01,0.394,-0.208
-1.3270e-01,0.392,-0.208
-1.3268e-01,0.382,-0.214
-1.3266e-01,0.386,-0.21
-1.3264e-01,0.382,-0.212
-1.3262e-01,0.386,-0.21
-1.3260e-01,0.384,-0.216
-1.3258e-01,0.38,-0.21
-1.3256e-01,0.384,-0.212
-1.3254e-01,0.388,-0.212
-1.3252e-01,0.39,-0.214
-1.3250e-01,0.386,-0.218
-1.3248e-01,0.398,-0.208
-1.3246e-01,0.386,-0.208
-1.3244e-01,0.382,-0.214
-1.3242e-01,0.382,-0.212
-1.3240e-01,0.382,-0.214
-1.3238e-01,0.388,-0.204
-1.3236e-01,0.384,-0.21
-1.3234e-01,0.382,-0.214
-1.3232e-01,0.384,-0.212
-1.3230e-01,0.39,-0.214
-1.3228e-01,0.382,-0.218
-1.3226e-01,0.382,-0.216
-1.3224e-01,0.384,-0.22
-1.3222e-01,0.39,-0.212
-1.3220e-01,0.394,-0.208
-1.3218e-01,0.382,-0.216
-1.3216e-01,0.386,-0.21
-1.3214e-01,0.386,-0.208
-1.3212e-01,0.388,-0.208
-1.3210e-01,0.394,-0.218
-1.3208e-01,0.39,-0.216
-1.3206e-01,0.392,-0.21
-1.3204e-01,0.382,-0.216
-1.3202e-01,0.384,-0.212
-1.3200e-01,0.386,-0.212
-1.3198e-01,0.386,-0.21
-1.3196e-01,0.39,-0.218
-1.3194e-01,0.39,-0.212
-1.3192e-01,0.384,-0.21
-1.3190e-01,0.388,-0.212
-1.3188e-01,0.388,-0.214
-1.3186e-01,0.388,-0.21
-1.3184e-01,0.382,-0.216
-1.3182e-01,0.394,-0.208
-1.3180e-01,0.384,-0.214
-1.3178e-01,0.384,-0.216
-1.3176e-01,0.388,-0.212
-1.3174e-01,0.384,-0.216
-1.3172e-01,0.384,-0.208
-1.3170e-01,0.382,-0.216
-1.3168e-01,0.388,-0.212
-1.3166e-01,0.386,-0.216
-1.3164e-01,0.39,-0.212
-1.3162e-01,0.392,-0.212
-1.3160e-01,0.388,-0.21
-1.3158e-01,0.392,-0.214
-1.3156e-01,0.386,-0.214
-1.3154e-01,0.384,-0.216
-1.3152e-01,0.39,-0.214
-1.3150e-01,0.384,-0.22
-1.3148e-01,0.392,-0.21
-1.3146e-01,0.388,-0.216
-1.3144e-01,0.386,-0.214
-1.3142e-01,0.386,-0.21
-1.3140e-01,0.388,-0.21
-1.3138e-01,0.386,-0.216
-1.3136e-01,0.384,-0.214
-1.3134e-01,0.386,-0.216
-1.3132e-01,0.392,-0.214
-1.3130e-01,0.388,-0.216
-1.3128e-01,0.388,-0.212
-1.3126e-01,0.382,-0.216
-1.3124e-01,0.39,-0.218
-1.3122e-01,0.388,-0.216
-1.3120e-01,0.38,-0.218
-1.3118e-01,0.386,-0.216
-1.3116e-01,0.396,-0.204
-1.3114e-01,0.384,-0.214
-1.3112e-01,0.384,-0.22
-1.3110e-01,0.386,-0.218
-1.3108e-01,0.384,-0.22
-1.3106e-01,0.388,-0.218
-1.3104e-01,0.384,-0.22
-1.3102e-01,0.39,-0.214
-1.3100e-01,0.392,-0.218
-1.3098e-01,0.386,-0.216
-1.3096e-01,0.386,-0.216
-1.3094e-01,0.386,-0.214
-1.3092e-01,0.388,-0.214
-1.3090e-01,0.386,-0.22
-1.3088e-01,0.384,-0.214
-1.3086e-01,0.384,-0.218
-1.3084e-01,0.378,-0.214
-1.3082e-01,0.384,-0.216
-1.3080e-01,0.382,-0.216
-1.3078e-01,0.39,-0.222
-1.3076e-01,0.386,-0.22
-1.3074e-01,0.386,-0.216
-1.3072e-01,0.384,-0.216
-1.3070e-01,0.386,-0.216
-1.3068e-01,0.382,-0.22
-1.3066e-01,0.388,-0.216
-1.3064e-01,0.382,-0.214
-1.3062e-01,0.388,-0.218
-1.3060e-01,0.388,-0.214
-1.3058e-01,0.382,-0.216
-1.3056e-01,0.388,-0.22
-1.3054e-01,0.39,-0.224
-1.3052e-01,0.382,-0.22
-1.3050e-01,0.39,-0.22
-1.3048e-01,0.388,-0.222
-1.3046e-01,0.392,-0.224
-1.3044e-01,0.388,-0.216
-1.3042e-01,0.386,-0.218
-1.3040e-01,0.386,-0.222
-1.3038e-01,0.386,-0.218
-1.3036e-01,0.39,-0.214
-1.3034e-01,0.388,-0.218
-1.3032e-01,0.39,-0.208
-1.3030e-01,0.386,-0.216
-1.3028e-01,0.386,-0.214
-1.3026e-01,0.386,-0.22
-1.3024e-01,0.388,-0.22
-1.3022e-01,0.392,-0.216
-1.3020e-01,0.39,-0.22
-1.3018e-01,0.392,-0.22
-1.3016e-01,0.386,-0.22
-1.3014e-01,0.382,-0.222
-1.3012e-01,0.388,-0.222
-1.3010e-01,0.39,-0.22
-1.3008e-01,0.384,-0.22
-1.3006e-01,0.382,-0.22
-1.3004e-01,0.388,-0.222
-1.3002e-01,0.388,-0.214
-1.3000e-01,0.384,-0.22
-1.2998e-01,0.382,-0.222
-1.2996e-01,0.386,-0.212
-1.2994e-01,0.384,-0.222
-1.2992e-01,0.386,-0.22
-1.2990e-01,0.392,-0.224
-1.2988e-01,0.392,-0.224
-1.2986e-01,0.384,-0.22
-1.2984e-01,0.39,-0.216
-1.2982e-01,0.378,-0.214
-1.2980e-01,0.39,-0.224
-1.2978e-01,0.388,-0.218
-1.2976e-01,0.382,-0.222
-1.2974e-01,0.384,-0.222
-1.2972e-01,0.388,-0.218
-1.2970e-01,0.386,-0.22
-1.2968e-01,0.392,-0.23
-1.2966e-01,0.388,-0.218
-1.2964e-01,0.388,-0.22
-1.2962e-01,0.388,-0.222
-1.2960e-01,0.388,-0.224
-1.2958e-01,0.388,-0.218
-1.2956e-01,0.388,-0.23
-1.2954e-01,0.39,-0.22
-1.2952e-01,0.392,-0.218
-1.2950e-01,0.392,-0.214
-1.2948e-01,0.384,-0.222
-1.2946e-01,0.382,-0.222
-1.2944e-01,0.384,-0.222
-1.2942e-01,0.38,-0.226
-1.2940e-01,0.388,-0.224
-1.2938e-01,0.386,-0.22
-1.2936e-01,0.386,-0.22
-1.2934e-01,0.392,-0.23
-1.2932e-01,0.392,-0.224
-1.2930e-01,0.384,-0.22
-1.2928e-01,0.388,-0.222
-1.2926e-01,0.382,-0.22
-1.2924e-01,0.392,-0.224
-1.2922e-01,0.39,-0.22
-1.2920e-01,0.384,-0.224
-1.2918e-01,0.388,-0.222
-1.2916e-01,0.384,-0.224
-1.2914e-01,0.384,-0.226
-1.2912e-01,0.386,-0.222
-1.2910e-01,0.392,-0.226
-1.2908e-01,0.392,-0.228
-1.2906e-01,0.39,-0.222
-1.2904e-01,0.388,-0.222
-1.2902e-01,0.392,-0.232
-1.2900e-01,0.386,-0.22
-1.2898e-01,0.386,-0.224
-1.2896e-01,0.388,-0.228
-1.2894e-01,0.384,-0.22
-1.2892e-01,0.39,-0.222
-1.2890e-01,0.388,-0.232
-1.2888e-01,0.386,-0.224
-1.2886e-01,0.388,-0.222
-1.2884e-01,0.392,-0.22
-1.2882e-01,0.388,-0.216
-1.2880e-01,0.388,-0.222
-1.2878e-01,0.388,-0.226
-1.2876e-01,0.386,-0.224
-1.2874e-01,0.384,-0.222
-1.2872e-01,0.386,-0.23
-1.2870e-01,0.388,-0.226
-1.2868e-01,0.384,-0.224
-1.2866e-01,0.39,-0.226
-1.2864e-01,0.386,-0.22
-1.2862e-01,0.38,-0.224
-1.2860e-01,0.39,-0.226
-1.2858e-01,0.384,-0.228
-1.2856e-01,0.388,-0.228
-1.2854e-01,0.39,-0.232
-1.2852e-01,0.388,-0.228
-1.2850e-01,0.394,-0.22
-1.2848e-01,0.384,-0.234
-1.2846e-01,0.384,-0.22
-1.2844e-01,0.384,-0.23
-1.2842e-01,0.394,-0.23
-1.2840e-01,0.378,-0.224
-1.2838e-01,0.386,-0.224
-1.2836e-01,0.386,-0.218
-1.2834e-01,0.388,-0.234
-1.2832e-01,0.382,-0.228
-1.2830e-01,0.388,-0.218
-1.2828e-01,0.386,-0.222
-1.2826e-01,0.382,-0.222
-1.2824e-01,0.386,-0.224
